TimePeriod,GeoType,Geography,Number,Percent That Are Obese
2020,Area,East New York,"35,000",26.6
2020,Area,Sunset Park,"24,000",25.5
2020,Area,Borough Park,"49,000",21.5
2020,Area,East Flatbush - Flatbush,"63,000",29.2
2020,Area,Canarsie - Flatlands,"56,000",39.1
2020,Area,Bensonhurst - Bay Ridge,"36,000",22.3
2020,Area,Coney Island - Sheepshead Bay,"60,000",26.6
2020,Area,Williamsburg - Bushwick,"38,000",25.9
2020,Area,Washington Heights,"58,000",29.5
2020,Area,Central Harlem - Morningside Heights,"36,000",30
2020,Area,East Harlem,"24,000",30.1
2020,Area,Upper West Side,"32,000",17.7
2020,Area,Long Island City - Astoria,"31,000",19.2
2020,Area,West Queens,"98,000",27
2020,Area,Flushing - Clearview,"30,000",15.1
2020,Area,Ridgewood - Forest Hills,"39,000",20.7
2020,Area,Southwest Queens,"65,000",32.5
2020,Area,Jamaica,"44,000",20.9
2020,Area,Southeast Queens,"64,000",43.4
2020,Area,Rockaways,"28,000",34.6
2020,Area,Upper East Side-Gramercy,"28,000",9
2020,Area,Chelsea-Village,"20,000",9.7
2020,Area,Union Square-Lower Manhattan,"30,000",14.4
2020,Area,Bayside Little Neck-Fresh Meadows,"28,000",20.4
2020,Area,Northern SI,"47,000",32.3
2020,Area,Southern SI,"73,000",33.9
2020,Area,South Bronx,"143,000",37.3
2020,Borough,Bronx,"332,000",32.9
2020,Borough,Brooklyn,"479,000",25.3
2020,Borough,Manhattan,"227,000",17.5
2020,Borough,Queens,"435,000",25.5
2020,Borough,Staten Island,"118,000",33
2020,Citywide,New York City,"1,592,000",25.4
2019,Area,East New York,"48,000",35.5
2019,Area,Sunset Park,"13,000",14.1
2019,Area,Borough Park,"43,000",18.7
2019,Area,East Flatbush - Flatbush,"72,000",31.2
2019,Area,Canarsie - Flatlands,"64,000",42.4
2019,Area,Bensonhurst - Bay Ridge,"30,000",18.8
2019,Area,Coney Island - Sheepshead Bay,"64,000",27.5
2019,Area,Williamsburg - Bushwick,"47,000",32.3
2019,Area,Washington Heights,"50,000",25.3
2019,Area,Central Harlem - Morningside Heights,"45,000",36.9
2019,Area,East Harlem,"27,000",34.1
2019,Area,Upper West Side,"31,000",17
